date,XLE,XLB,XLI,XLY,XLP,XLV,XLF,XLK,XTL,XLU,XLRE
2000-06-30,78.5,39.06,24.81,36.31,57.63,101.9,46.06,133.7,52.38,56.38,
2000-07-31,80.19,35.81,28.13,30.13,55.25,93.06,49.81,66.75,50.81,61.69,
2000-08-31,81.64,38.94,28.38,41.5,47.63,91.96,55.88,74.88,60.94,74.83,
2000-09-29,89.11,36.06,32.93,38.44,48.13,93.94,46.19,41.56,25.75,85.77,
2000-10-31,89.19,39.19,35.85,36.63,45.38,92.13,45.5,45.0,19.56,86.44,
2000-11-30,88.0,43.44,34.1,24.69,52.19,100.0,36.88,38.06,16.5,89.94,
2000-12-29,86.94,43.19,33.95,15.56,53.13,105.1,45.44,30.06,14.88,85.25,
2001-01-31,84.15,41.55,34.68,17.31,56.8,93.13,53.61,37.0,21.62,36.57,
2001-02-28,81.05,41.95,37.46,10.19,50.09,97.33,45.49,28.56,18.25,40.75,
2001-03-30,81.0,42.42,35.65,10.23,50.5,87.47,43.77,26.31,22.07,42.74,
2001-04-30,88.6,37.83,35.16,15.78,51.74,96.48,47.16,30.91,25.49,46.76,
2001-05-31,88.75,40.88,38.29,16.69,51.75,96.95,48.31,27.01,19.95,45.72,
2001-06-29,87.35,40.97,37.05,14.15,48.8,49.96,43.71,29.25,23.25,39.01,
2001-07-31,41.76,40.04,39.62,12.49,55.9,54.1,42.88,29.81,18.79,38.61,
2001-08-31,40.15,40.08,39.86,8.94,48.05,52.71,39.02,27.96,18.55,39.31,
2001-09-28,39.4,36.33,43.75,5.97,49.5,55.4,33.82,20.44,15.51,37.85,
2001-10-31,39.45,35.18,48.77,6.98,51.4,57.91,35.36,24.42,17.56,38.41,
2001-11-30,37.4,37.4,46.45,11.32,55.15,58.25,37.72,32.66,21.3,36.15,
2001-12-31,39.3,40.25,46.67,10.82,57.55,59.1,36.35,31.45,21.9,39.26,
2002-01-31,39.05,42.79,52.97,14.19,59.98,57.51,34.05,35.04,24.72,34.87,
2002-02-28,41.3,46.83,56.41,14.1,62.01,60.9,29.25,28.55,21.7,35.3,
2002-03-28,43.83,45.72,57.58,14.3,61.3,64.95,35.65,30.41,23.67,37.8,
2002-04-30,40.17,43.91,62.9,16.69,55.86,63.86,34.34,28.61,24.27,38.33,
2002-05-31,39.93,47.68,62.05,18.23,54.1,61.35,35.95,27.62,23.3,32.01,
2002-06-28,40.92,46.23,69.5,16.25,55.01,52.26,33.92,18.27,17.72,31.1,
2002-07-31,36.76,45.95,64.11,14.46,49.18,53.0,24.96,18.79,15.26,25.49,
2002-08-30,35.45,45.04,63.32,14.94,53.48,54.31,26.4,16.67,14.75,26.83,
2002-09-30,31.9,41.73,64.67,15.93,49.24,54.08,18.99,13.89,14.5,19.55,
2002-10-31,33.66,48.25,57.9,19.35,53.55,58.75,20.75,17.31,16.07,20.49,
2002-11-29,34.8,49.67,52.2,23.35,53.9,57.02,25.17,20.88,15.5,19.74,
2002-12-31,34.94,49.5,57.75,18.89,50.51,53.71,24.0,15.57,14.33,19.54,
2003-01-31,34.15,49.3,51.05,21.85,47.8,53.61,23.04,15.7,14.36,17.03,
2003-02-28,34.02,49.05,45.72,22.01,48.06,52.45,22.68,17.26,15.01,13.51,
2003-03-31,34.95,49.33,47.55,26.03,52.03,57.87,24.45,16.28,14.14,14.54,
